cell,true_label,cluster
B10.MAA000553.3_10_M.1.1,endothelial cell,13
B10.MAA000560.3_10_M.1.1,oligodendrocyte,1
B10.MAA000563.3_10_M.1.1,oligodendrocyte,17
B10.MAA000581.3_10_M.1.1,oligodendrocyte,0
B10.MAA000615.3_10_M.1.1,astrocyte,2
B10.MAA000902.3_11_M.1.1,oligodendrocyte precursor cell,0
B10.MAA000923.3_9_M.1.1,oligodendrocyte,1
B10.MAA001854.3_38_F.1.1,astrocyte,15
B10.MAA001894.3_39_F.1.1,oligodendrocyte,1
B11.B003275.3_38_F.1.1,endothelial cell,5
B11.B003290.3_38_F.1.1,endothelial cell,5
B11.MAA000560.3_10_M.1.1,astrocyte,2
B11.MAA000564.3_10_M.1.1,neuron,9
B11.MAA000581.3_10_M.1.1,endothelial cell,5
B11.MAA000615.3_10_M.1.1,oligodendrocyte,4
B11.MAA000923.3_9_M.1.1,oligodendrocyte precursor cell,0
B11.MAA000926.3_9_M.1.1,astrocyte,2
B11.MAA000932.3_11_M.1.1,endothelial cell,13
B11.MAA000935.3_8_M.1.1,oligodendrocyte,17
B11.MAA000940.3_8_M.1.1,oligodendrocyte,4
B11.MAA000941.3_8_M.1.1,neuron,11
B11.MAA001845.3_39_F.1.1,endothelial cell,13
B11.MAA001895.3_38_F.1.1,endothelial cell,5
B12.B003275.3_38_F.1.1,endothelial cell,13
B12.B003290.3_38_F.1.1,endothelial cell,13
B12.B003728.3_56_F.1.1,oligodendrocyte,4
B12.MAA000563.3_10_M.1.1,oligodendrocyte,17
B12.MAA000564.3_10_M.1.1,astrocyte,2
B12.MAA000581.3_10_M.1.1,neuron,11
B12.MAA000615.3_10_M.1.1,neuron,9
B12.MAA000923.3_9_M.1.1,oligodendrocyte precursor cell,0
B12.MAA000926.3_9_M.1.1,endothelial cell,13
B12.MAA000941.3_8_M.1.1,endothelial cell,5
B12.MAA000944.3_9_M.1.1,neuron,11
B12.MAA001845.3_39_F.1.1,brain pericyte,6
B13.B003275.3_38_F.1.1,endothelial cell,13
B13.B003290.3_38_F.1.1,oligodendrocyte,9
B13.MAA000561.3_10_M.1.1,brain pericyte,6
B13.MAA000581.3_10_M.1.1,endothelial cell,12
B13.MAA000615.3_10_M.1.1,neuron,9
B13.MAA000641.3_9_M.1.1,neuron,11
B13.MAA000923.3_9_M.1.1,oligodendrocyte,1
B13.MAA000926.3_9_M.1.1,oligodendrocyte,17
B13.MAA000928.3_9_M.1.1,Bergmann glial cell,15
B13.MAA000941.3_8_M.1.1,oligodendrocyte precursor cell,0
B14.B003275.3_38_F.1.1,endothelial cell,13
B14.B003290.3_38_F.1.1,endothelial cell,5
B14.MAA000581.3_10_M.1.1,endothelial cell,13
B14.MAA000926.3_9_M.1.1,oligodendrocyte,17
B14.MAA000944.3_9_M.1.1,oligodendrocyte precursor cell,0
B14.MAA001845.3_39_F.1.1,endothelial cell,12
B15.B003274.3_38_F.1.1,astrocyte,2
B15.B003275.3_38_F.1.1,endothelial cell,13
B15.B003290.3_38_F.1.1,endothelial cell,13
B15.MAA000560.3_10_M.1.1,oligodendrocyte,17
B15.MAA000581.3_10_M.1.1,endothelial cell,5
B15.MAA000902.3_11_M.1.1,oligodendrocyte,17
B15.MAA000926.3_9_M.1.1,astrocyte,4
B15.MAA000935.3_8_M.1.1,oligodendrocyte,17
B15.MAA000941.3_8_M.1.1,oligodendrocyte precursor cell,0
B15.MAA000942.3_8_M.1.1,oligodendrocyte,17
B15.MAA000944.3_9_M.1.1,oligodendrocyte,17
B16.B000621.3_56_F.1.1,oligodendrocyte,17
B16.B003290.3_38_F.1.1,neuron,19
B16.B003728.3_56_F.1.1,oligodendrocyte,8
B16.MAA000560.3_10_M.1.1,oligodendrocyte,17
B16.MAA000561.3_10_M.1.1,brain pericyte,6
B16.MAA000581.3_10_M.1.1,neuron,11
B16.MAA000923.3_9_M.1.1,oligodendrocyte,17
B16.MAA000942.3_8_M.1.1,oligodendrocyte,17
B17.B003275.3_38_F.1.1,endothelial cell,12
B17.MAA000560.3_10_M.1.1,oligodendrocyte,17
B17.MAA000561.3_10_M.1.1,endothelial cell,13
B17.MAA000581.3_10_M.1.1,brain pericyte,6
B17.MAA000641.3_9_M.1.1,Bergmann glial cell,15
B17.MAA000902.3_11_M.1.1,oligodendrocyte,17
B17.MAA000926.3_9_M.1.1,oligodendrocyte,1
B17.MAA000935.3_8_M.1.1,oligodendrocyte,17
B17.MAA000941.3_8_M.1.1,oligodendrocyte,17
B17.MAA000942.3_8_M.1.1,oligodendrocyte,17
B17.MAA000944.3_9_M.1.1,oligodendrocyte,17
B17.MAA001894.3_39_F.1.1,oligodendrocyte,9
B18.B003275.3_38_F.1.1,brain pericyte,6
B18.B003728.3_56_F.1.1,astrocyte,10
B18.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,4
