cell,label,UMAP1,UMAP2
B17.MAA001894.3_39_F.1.1,oligodendrocyte,-0.3600968,9.866027
B18.B003275.3_38_F.1.1,brain pericyte,-12.656698,4.0392623
B18.B003728.3_56_F.1.1,astrocyte,0.2638491,10.565489
B18.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,10.01679,-1.1420574
B18.MAA000561.3_10_M.1.1,brain pericyte,-11.844974,3.7627814
B18.MAA000564.3_10_M.1.1,oligodendrocyte,14.408898,3.8933
B18.MAA000581.3_10_M.1.1,brain pericyte,-11.742214,4.234957
B18.MAA000925.3_9_M.1.1,neuron,-4.7124405,13.886431
B18.MAA000926.3_9_M.1.1,oligodendrocyte,13.505633,6.442552
B18.MAA000942.3_8_M.1.1,oligodendrocyte,13.860756,0.8380326
